FID,ESTADO,ET_ID,PROYECTO,FechaAlta,Actualizad,LONGITUD,RED,TRAMO,SECTOR,PGOU,Shape__Length
274,RED ACTUAL,220,0,,,23,,0,,,29.2956071885795
275,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,14,,0,,,17.5202314596581
276,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,10,,0,,,12.4587783512263
277,RED ACTUAL,221,0,,3/17/2017 12:00:00 AM,330,,0,,,416.29882622738
278,RED ACTUAL,93,0,,,1185,,0,,,1490.08121191378
279,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,25,,0,,,31.8047344149947
280,RED ACTUAL,222,0,,,29,,0,,,36.6787679610826
281,RED ACTUAL,94,0,,,4806,,0,,,6060.42399886157
282,RED ACTUAL,182,0,,3/17/2017 12:00:00 AM,55,,0,,,69.5590993636071
283,RED ACTUAL,223,0,,,254,,0,,,320.157488080218
284,RED ACTUAL,95,0,,,718,,0,,,903.110953670196
285,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,223,,0,,,280.596683914307
286,RED ACTUAL,224,0,,,467,,0,,,587.572170963998
287,RED ACTUAL,96,0,,,354,,0,,,445.859303299671
288,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,175,,0,,,219.616069921729
289,RED ACTUAL,225,0,,3/17/2017 12:00:00 AM,444,,0,,,558.885460157623
290,RED ACTUAL,97,0,,,1880,,0,,,2368.71506204813
291,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,23,,0,,,28.3902275067041
292,RED ACTUAL,226,0,,,175,,0,,,220.781207940453
293,RED ACTUAL,98,0,,,485,,0,,,610.704562347584
294,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,174,,0,,,218.608756262756
295,RED ACTUAL,227,0,,,45,,0,,,56.3901800618267
296,RED ACTUAL,99,0,,,364,,0,,,458.295769558538
297,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,531,,0,,,668.797789236447
298,RED ACTUAL,228,0,,,790,,0,,,993.861329873486
299,RED ACTUAL,100,0,,,646,,0,,,814.631769562261
300,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,653,,0,,,821.15158145437
301,RED ACTUAL,229,0,,,406,,0,,,510.507992988108
302,RED ACTUAL,101,0,,,114,,0,,,143.382391699367
